Equipment ID,EquipmentName,UniqueName,BarcodeNumber,Category,Subcategory,SerialNumber,ModelNumber,Manufacturer,Location,Facility ResQ ID,Facility Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ19074,Coffee Maker,Coffee Machine (Dark Roast),A00000005BS,Beverage Equipment,Hot Beverage Machine,AX0017296Y,Axiom 35-3,Bunn,NA,F498,A&W - Concord,/equipment/images/images_Yus4cE0.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20109,Coffee Maker,Coffee Machine (Dark Roast),A00000007IE,Beverage Equipment,Hot Beverage Machine,AX21600Z,AXION-DV-TC,Bunn,NA,F546,Dennys - Delta Park Brampton,/equipment/images/images_MMJbi2f.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20104,Coffee Maker,Coffee Machine (Dark Roast),A00000007I3,Beverage Equipment,Hot Beverage Machine,AX21616Z,AXIOM-DV-TC,Bunn,NA,F546,Dennys - Delta Park Brampton,/equipment/images/images_5JcT1p1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ19955,Coffee Maker,Coffee Machine (Dark Roast),A00000006NU,Beverage Equipment,Hot Beverage Machine,AXBW020977AB,AX10M35-3,Bunn,NA,F527,A&W#4961 Resolution Dr.,/equipment/images/images_9uFxNRz.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21189,Coffee Maker,Coffee Machine (Dark Roast),A00000008Q1,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 35 3
Serial: ax0018941y",F577,Tim Hortons #4098,equipment/images/images_nXjVO1y.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20685,Coffee Maker,Coffee Machine (Dark Roast),A000000077G,Beverage Equipment,Hot Beverage Machine,,,BUNN,Axiom-dv-tc / ax0024316aa,F564,Swiss Chalet/Harvey's,equipment/images/images_UpsOoY4.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20683,Coffee Maker,Coffee Machine (Dark Roast),A000000077F,Beverage Equipment,Hot Beverage Machine,,,BUNN,Axiom-dv-tc / ax0020859z,F564,Swiss Chalet/Harvey's,equipment/images/images_OnzcbUD.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22183,Coffee Maker,Coffee Machine (Dark Roast),A0000000C12,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom353 brewwise
Serial: ax0013884y",F700,Tim Hortons # 6084,equipment/images/images_nFF7cDa.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22209,Coffee maker,Coffee Machine (Dark Roast),A0000000B0V,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model AXIOM353 brew series 
Serial 3087006076",F700,Tim Hortons # 6084,equipment/images/4292018121139.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21176,Coffee maker,Coffee Machine (Dark Roast),A00000009A0,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model. axiom353 brewise
Serial axoo19029y",F574,Tim Hortons #2068,equipment/images/3262018151125.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20802,Coffee Maker,Coffee Machine (Dark Roast),A000000095G,Beverage Equipment,Hot Beverage Machine,,,Bunn,"M: AXIOM-35-3, BREWWISE S: 38700.6075",F583,A&W- Bloor st.,equipment/images/images_yi8AplZ.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22643,Coffee Maker,Coffee Machine (Dark Roast),A0000000BC5,Beverage Equipment,Hot Beverage Machine,,,Bunn,M: AXIOM-3 s: AXBW021362,F715,Tim Hortons - 5840,equipment/images/images_eYLkSiZ.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22466,Coffee Maker,Coffee Machine (Dark Roast),A0000000B8O,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 353 brewwise 
Serial: ax0018460y",F699,Tim Hortons # 3296,equipment/images/images_b55LMyq.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22312,Coffee Maker,Coffee Machine (Dark Roast),A0000000AR1,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 3 brewwise
Serial: axb019004",F701,Tim Hortons # 1650,equipment/images/images_GEJsOP1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22339,Coffee Maker,Coffee Machine (Dark Roast),A0000000C6O,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 353 brewwise
Serial: ax0028704y",F701,Tim Hortons # 1650,equipment/images/images_g3GiWCh.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21971,Coffee Maker,Coffee Machine (Dark Roast),A0000000BQS,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 35-3 brewwise
Serial: ax0018705y",F705,Tim Hortons # 2490,equipment/images/images_0x4qtFD.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21982,Coffee maker,Coffee Machine (Dark Roast),A0000000C8W,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model AXIOM 353 BREWSERIES
serial 387006076",F705,Tim Hortons # 2490,equipment/images/429201893834.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22536,Coffee Maker,Coffee Machine (Dark Roast),A0000000AHO,Beverage Equipment,Hot Beverage Machine,,,Bunn,M:AXIOM353 s:Ax0018688Y,F712,Tim Hortons - 5837,equipment/images/images_EI9Wl7X.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22664,Coffee Maker,Coffee Machine (Dark Roast),A0000000AWS,Beverage Equipment,Hot Beverage Machine,,,Bunn,M: AXIOM353 s: AC0018699Y,F716,Tim Hortons # 1242,equipment/images/images_rtrLZUf.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22604,Coffee Maker,Coffee Machine (Dark Roast),A0000000B0E,Beverage Equipment,Hot Beverage Machine,,,Bunn,M: AXIOM353 s: AX0019046y,F665,Tim Hortons #5365,equipment/images/images_K2PumHP.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22588,Coffee maker,Coffee Machine (Dark Roast),A0000000B09,Beverage Equipment,Hot Beverage Machine,,,Bunn,"axiom 353
SN. AX0017922Y",F665,Tim Hortons #5365,equipment/images/4302018115137.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22537,Coffee Maker,Coffee Machine (Dark Roast),A0000000BF2,Beverage Equipment,Hot Beverage Machine,,,Bunn,M: AXIOM353 s: AX0013788Y,F666,Tim Hortons #6478,equipment/images/images_BPQe6Ri.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22569,Coffee maker,Coffee Machine (Dark Roast),A0000000BB9,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model AXION353
SERIAL AX0013789Y",F666,Tim Hortons #6478,equipment/images/4302018111426.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22135,Coffee Maker,Coffee Machine (Dark Roast),A0000000BJW,Beverage Equipment,Hot Beverage Machine,,,Bunn,Axiom3/axbw019116,F707,Tim Hortons - 2121,equipment/images/images_VXZvnkw.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22284,Coffee Maker,Coffee Machine (Dark Roast),A0000000AVM,Beverage Equipment,Hot Beverage Machine,,,Bunn,M: AXI0M35-3 s:AX0018692y,F713,Tim Hortons - 8480,equipment/images/images_c9liqHX.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22814,Coffee maker,Coffee Machine (Dark Roast),A0000000ED2,Beverage Equipment,Hot Beverage Machine,,,Bunn,"AXIOM 353
AX0013220Y",F719,Tim Hortons - 1931,equipment/images/512018153539.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22722,Coffee maker,Coffee Machine (Dark Roast),A0000000EYS,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model AXIOM 3 BREWISE
Serial AXBWO18996",F717,Tim Hortons # 2504,equipment/images/51201811262.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22033,Coffee Maker - Dark,Coffee Machine (Dark Roast),A0000000BR9,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 3 brewwise
Serial: axbw018998",F698,Tim Hortons # 3071,equipment/images/images_Dx84n0u.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22268,Coffee Maker - Dark,Coffee Machine (Dark Roast),A0000000AQP,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 3 brewwwise
Serial: axb018994",F704,Tim Hortons # 2758,equipment/images/images_ZtxwwdU.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21514,Coffee Maker - Dark,Coffee Machine (Dark Roast),A0000000AQK,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 35 3
Serial: 387006076",F655,Tim Horton's #4371,equipment/images/images_L4npsKA.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22493,Coffee Maker - Dark,Coffee Machine (Dark Roast),A0000000B94,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom353
Serial: ax0017251y",F699,Tim Hortons # 3296,equipment/images/images_3NwoHTm.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22397,Coffee Maker - Dark,Coffee Machine (Dark Roast),A0000000C4T,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 3 brewwise
Serial: axbw01934",F702,Tim Hortons # 1873,equipment/images/images_LuF3ERv.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22156,Coffee Maker - Dark,Coffee Machine (Dark Roast),A0000000B32,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 3 brewwise
Serial: axbw018992",F703,Tim Hortons #1909,equipment/images/images_K3o7aNu.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21079,Coffee Maker - Dark Roast,Coffee Machine (Dark Roast),A0000000AFG,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 353 brewwise
Serial: ax0018879y",F575,Tim Horton #3120,equipment/images/images_sJIJfct.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21051,Coffee Maker - Dark Roast,Coffee Machine (Dark Roast),A00000009MK,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 35 3 Brewwise
Serial: ax0019177y",F356,Tim Hortons #7654,equipment/images/images_vFe7yti.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ21212,Coffee Maker - Dark Roast,Coffee Machine (Dark Roast),A00000008QM,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 35 3
Serial: ax0018935y",F577,Tim Hortons #4098,equipment/images/images_KYWImcG.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17508,Coffee Maker (Dark Roast),Coffee Machine (Dark Roast),A00000000UT,Beverage Equipment,Hot Beverage Machine,AX0017477Y,Axiom-35-3,Bunn,,F359,Tim Hortons #1691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17496,Coffee Maker (Dark Roast),Coffee Machine (Dark Roast),A00000000PQ,Beverage Equipment,Hot Beverage Machine,AX0018325Y,Axiom-35-3,Bunn,,F364,Tim Hortons #2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ17513,Coffee Maker (Dark Roast),Coffee Machine (Dark Roast),A00000000X2,Beverage Equipment,Hot Beverage Machine,AX0013733Y,Axiom-35-3,Bunn,,F367,Tim Hortons #3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15931,Coffee Maker A00000000MZ,Coffee Machine (Dark Roast),A00000000MZ,Beverage Equipment,Hot Beverage Machine,AXBW019310,Axiom-3,Axiom,,F361,Tim Hortons #3389,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16031,Coffee Maker A00000000SQ,Coffee Machine (Dark Roast),A00000000SQ,Beverage Equipment,Hot Beverage Machine,AXBW21485,Axiom-3,Bunn,,F363,Tim Hortons #5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15973,Coffee Maker A00000000W1,Coffee Machine (Dark Roast),A00000000W1,Beverage Equipment,Hot Beverage Machine,AXBW020897,Axiom-3,Bunn,,F362,Tim Hortons #5559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15976,Coffee Maker A00000000WE,Coffee Machine (Dark Roast),A00000000WE,Beverage Equipment,Hot Beverage Machine,AXBW21456,Axiom-3,Bunn,,F362,Tim Hortons #5559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15650,Coffee Maker A000000010I,Coffee Machine (Dark Roast),A000000010I,Beverage Equipment,Hot Beverage Machine,AX0013741Y,353,Axiom,NA,F371,Tim Hortons #0788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15651,Coffee Maker A000000010J,Coffee Machine (Dark Roast),A000000010J,Beverage Equipment,Hot Beverage Machine,AX0018563Y,350,Axiom,,F371,Tim Hortons #0788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15596,Coffee Maker A000000012B,Coffee Machine (Dark Roast),A000000012B,Beverage Equipment,Hot Beverage Machine,AX00181404,NA,NA,NA,F374,Tim Hortons #3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15592,Coffee Maker A000000012X,Coffee Machine (Dark Roast),A000000012X,Beverage Equipment,Hot Beverage Machine,AX0018624Y,Axiom 35-3,NA,,F374,Tim Hortons #3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15593,Coffee Maker A0000000136,Coffee Machine (Dark Roast),A0000000136,Beverage Equipment,Hot Beverage Machine,AXBW021609,Axiom-3,NA,,F374,Tim Hortons #3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16073,Coffee Maker A0000000192,Coffee Machine (Dark Roast),A0000000192,Beverage Equipment,Hot Beverage Machine,AXBW021549,Axiom-3,Bunn,,F365,Tim Hortons #5545,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16076,Coffee Maker A000000019N,Coffee Machine (Dark Roast),A000000019N,Beverage Equipment,Hot Beverage Machine,AXBW021549,Axiom-3,Bunn,,F365,Tim Hortons #5545,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15936,Coffee Maker A00000001AU,Coffee Machine (Dark Roast),A00000001AU,Beverage Equipment,Hot Beverage Machine,AX0018760Y,Axiom-3,Axiom,,F361,Tim Hortons #3389,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ15937,Coffee Maker A00000001AZ,Coffee Machine (Dark Roast),A00000001AZ,Beverage Equipment,Hot Beverage Machine,AXBW019338,NA,Axiom,,F361,Tim Hortons #3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ20093,Coffee Maker Dark,Coffee Machine (Dark Roast),A00000006JH,Beverage Equipment,Hot Beverage Machine,AX0017772Y,AX10M35-3,Bunn,NA,F547,Tim Horton's #2012,/equipment/images/images_PcMYD1j.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ22067,Coffee Maker- Dark,Coffee Machine (Dark Roast),A0000000BP3,Beverage Equipment,Hot Beverage Machine,,,Bunn,"Model: axiom 35-3
Serial: ax0017246y",F697,Tim Hortons # 816,equipment/images/images_NGWqAmi.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ18497,Coffee Maker Dark Roast,Coffee Machine (Dark Roast),A00000004M0,Beverage Equipment,Hot Beverage Machine,AXBW018820,Axiom 35-3,Bunn,NA,F471,Tim Horton's #1950,/equipment/images/images_jXQ4VpE.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ18425,Coffee Maker Dark Roast,Coffee Machine (Dark Roast),A0000000424,Beverage Equipment,Hot Beverage Machine,AX0017897Y,Axiom35-3,Bunn,NA,F472,Tim Horton's #1876,/equipment/images/images_icxJoRc.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16198,Coffee Maker DR,Coffee Machine (Dark Roast),A000000015I,Beverage Equipment,Hot Beverage Machine,AX0017610Y,Axiom-3,Bunn,,F369,Tim Hortons #2930,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16202,Coffee Maker DR,Coffee Machine (Dark Roast),A000000015R,Beverage Equipment,Hot Beverage Machine,AX00183214,Axiom-3,Bunn,,F369,Tim Hortons #2930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16154,Coffee Maker DR A00000000O6,Coffee Machine (Dark Roast),A00000000O6,Beverage Equipment,Hot Beverage Machine,AXBW018931,AXIOM-3,Bunn,,F358,Tim Hortons #2115,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16108,Coffee Maker DR A0000000160,Coffee Machine (Dark Roast),A0000000160,Beverage Equipment,Hot Beverage Machine,AX00164724,Axiom-3,Bunn,,F368,Tim Hortons #3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ16109,Coffee Maker DR A0000000161,Coffee Machine (Dark Roast),A0000000161,Beverage Equipment,Hot Beverage Machine,AX00186614,Axiom-3,Bunn,,F368,Tim Hortons #3477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10013,Coffee Maker EQ10013,Coffee Machine (Dark Roast),EQ10013F217,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AX 0016471,"Axiom-35-3, Brewwise",Bunn,,F217,Tim Hortons #5569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10018,Coffee Maker EQ10018,Coffee Machine (Dark Roast),EQ10018F217,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AXBW 021540,"Axiom-35-3, Brewwise",Bunn,,F217,Tim Hortons #5569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10054,Coffee Maker EQ10054,Coffee Machine (Dark Roast),EQ10054F216,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AX0017788Y,"Axiom-35-3, Brewwise",Bunn,,F216,Tim Hortons #5570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10112,Coffee Maker EQ10112,Coffee Machine (Dark Roast),EQ10112F213,Beverage Equipment,Hot Beverage Machine,AX0017249Y,"Axiom-35-3, Brewwise",Bunn,,F213,Tim Hortons #5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10156,Coffee Maker EQ10156,Coffee Machine (Dark Roast),EQ10156F212,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AXBW 021794,"Axiom-35-3, Brwewwi",Bunn,,F212,Tim Hortons #6024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10228,Coffee Maker EQ10228,Coffee Machine (Dark Roast),EQ10228F272,Beverage Equipment,Hot Beverage Machine,AX0019012Y,Axiom-35-3,Bunn,,F272,Tim Hortons #1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10231,Coffee Maker EQ10231,Coffee Machine (Dark Roast),EQ10231F272,Beverage Equipment,Hot Beverage Machine,AX0013287Y,Axiom-35-3,Bunn,,F272,Tim Hortons #1754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10247,Coffee Maker EQ10247,Coffee Machine (Dark Roast),EQ10247F271,Beverage Equipment,Hot Beverage Machine,AX0013292Y,Axiom-35-3,Bunn,,F271,Tim Hortons #2602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10296,Coffee Maker EQ10296,Coffee Machine (Dark Roast),EQ10296F270,Beverage Equipment,Hot Beverage Machine,AX0013334Y,Axiom-35-3,Bunn,,F270,Tim Hortons #4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10297,Coffee Maker EQ10297,Coffee Machine (Dark Roast),EQ10297F270,Beverage Equipment,Hot Beverage Machine,AX0018835Y,Axiom-35-3,Bunn,,F270,Tim Hortons #4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10335,Coffee Maker EQ10335,Coffee Machine (Dark Roast),EQ10335F269,Beverage Equipment,Hot Beverage Machine,AXBW019213,Axiom-3,Bunn,,F269,Tim Hortons #0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10336,Coffee Maker EQ10336,Coffee Machine (Dark Roast),EQ10336F269,Beverage Equipment,Hot Beverage Machine,AX0013326Y,Axiom-3,Bunn,,F269,Tim Hortons #0536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10370,Coffee Maker EQ10370,Coffee Machine (Dark Roast),EQ10370F209,Beverage Equipment,Hot Beverage Machine,DarkSerial #:AX 0016341 X,"Axiom-35-3, Brewwise",Bunn,,F209,Tim Hortons #1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10426,Coffee Maker EQ10426,Coffee Machine (Dark Roast),EQ10426F208,Beverage Equipment,Hot Beverage Machine,DarkAX 0016263,"Axiom-35-3, Brewwise",Bunn,,F208,Tim Hortons #1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10460,Coffee Maker EQ10460,Coffee Machine (Dark Roast),EQ10460F207,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AXBW 021543,"Axiom-35-3, Brewwise",Bunn,,F207,Tim Hortons #1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10492,Coffee Maker EQ10492,Coffee Machine (Dark Roast),EQ10492F207,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AX 0016334 Y,"Axiom-35-3, Brewwise",Bunn,,F207,Tim Hortons #1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10503,Coffee Maker EQ10503,Coffee Machine (Dark Roast),EQ10503F206,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AX 0016038 X,"Axiom-35-3, Brewwise",Bunn,,F206,Tim Hortons #1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10540,Coffee Maker EQ10540,Coffee Machine (Dark Roast),EQ10540F205,Beverage Equipment,Hot Beverage Machine,DarkSerial #:AX 0013321,"Axiom-35-3, Brewwise",Bunn,,F205,Tim Hortons #2674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10575,Coffee Maker EQ10575,Coffee Machine (Dark Roast),EQ10575F204,Beverage Equipment,Hot Beverage Machine,DarkSerial #:AX0013322 Y,"Axiom-35-3, Brewwise",Bunn,,F204,Tim Hortons #2959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10627,Coffee Maker EQ10627,Coffee Machine (Dark Roast),EQ10627F203,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AX 0017828 Y,"Axiom-35-3, Brewwise",Bunn,,F203,Tim Hortons #3205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10646,Coffee Maker EQ10646,Coffee Machine (Dark Roast),EQ10646F202,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AX 0012810 Y,"Axiom-35-3, Brewwise",Bunn,,F202,Tim Hortons #3284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10730,Coffee Maker EQ10730,Coffee Machine (Dark Roast),EQ10730F201,Beverage Equipment,Hot Beverage Machine,AX0016035Y,"Axiom-35-3, Brewwise",Bunn,,F201,Tim Hortons #3493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10772,Coffee Maker EQ10772,Coffee Machine (Dark Roast),EQ10772F200,Beverage Equipment,Hot Beverage Machine,DarkSerial #: AX 0016260 Y,"Axiom-35-3, Brewwise",Bunn,,F200,Tim Hortons #4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10827,Coffee Maker EQ10827,Coffee Machine (Dark Roast),EQ10827F199,Beverage Equipment,Hot Beverage Machine,DarkSerial #: Ax 0013218 Y,"Axiom-35-3, Brewwise",Bunn,,F199,Tim Hortons #0542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10862,Coffee Maker EQ10862,Coffee Machine (Dark Roast),EQ10862F268,Beverage Equipment,Hot Beverage Machine,AX0018057Y,Axiom-35-3T,Bunn,,F268,Tim Hortons #1709 [Deactivated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10866,Coffee Maker EQ10866,Coffee Machine (Dark Roast),EQ10866F268,Beverage Equipment,Hot Beverage Machine,AX0018621Y,Axiom-35-3T,Bunn,,F268,Tim Hortons #1709 [Deactivated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10898,Coffee Maker EQ10898,Coffee Machine (Dark Roast),EQ10898F267,Beverage Equipment,Hot Beverage Machine,AX0018046Y,Axiom-35-3,Bunn,,F267,Tim Hortons #2156 [Deactivated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10901,Coffee Maker EQ10901,Coffee Machine (Dark Roast),EQ10901F267,Beverage Equipment,Hot Beverage Machine,AX0018632Y,,,,F267,Tim Hortons #2156 [Deactivated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10942,Coffee Maker EQ10942,Coffee Machine (Dark Roast),EQ10942F266,Beverage Equipment,Hot Beverage Machine,AX0018545Y,Axiom 35-3,Bunn,,F266,Tim Hortons #3618 [Deactivated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ10945,Coffee Maker EQ10945,Coffee Machine (Dark Roast),EQ10945F266,Beverage Equipment,Hot Beverage Machine,AXBW019218,Axiom-3,Bunn,,F266,Tim Hortons #3618 [Deactivated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11032,Coffee Maker EQ11032,Coffee Machine (Dark Roast),EQ110321652,Beverage Equipment,Hot Beverage Machine,AXBW019461,Axiom-3,Newco,NA,F197,Tim Hortons #1652,./image_kDZ1kkR.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11033,Coffee Maker EQ11033,Coffee Machine (Dark Roast),EQ110331652,Beverage Equipment,Hot Beverage Machine,AXBW019181,Axiom-3,Bunn,NA,F197,Tim Hortons #1652,./image_8lsJCgO.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11063,Coffee Maker EQ11063,Coffee Machine (Dark Roast),EQ11063F196,Beverage Equipment,Hot Beverage Machine,AXBW019460,Bunn,Axiom-3,,F196,Tim Hortons #0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11096,Coffee Maker EQ11096,Coffee Machine (Dark Roast),EQ11096F195,Beverage Equipment,Hot Beverage Machine,AX0018606Y ( Drive thru),Axiom-35-3,Bunn,,F195,Tim Hortons #2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11099,Coffee Maker EQ11099,Coffee Machine (Dark Roast),EQ11099F195,Beverage Equipment,Hot Beverage Machine,AXBW019454,Axiom-3,Bunn,,F195,Tim Hortons #2658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11142,Coffee Maker EQ11142,Coffee Machine (Dark Roast),EQ11142F194,Beverage Equipment,Hot Beverage Machine,AXBW019456,Axiom-3,Bunn,,F194,Tim Hortons #3123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11169,Coffee Maker EQ11169,Coffee Machine (Dark Roast),EQ11169F193,Beverage Equipment,Hot Beverage Machine,AXBW019480,Axiom-3,Bunn,na,F193,Tim Hortons #4280,/equipment.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQ11171,Coffee Maker EQ11171,Coffee Machine (Dark Roast),EQ11171F193,Beverage Equipment,Hot Beverage Machine,AX0018626Y,Axiom-35-3T,Bunn,,F193,Tim Hortons #4280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
